trial_name,score,term_rmse,term_bias,term_range,term_variability,term_duration,term_setup,metric_spacing_column,metric_profile,metric_n_observations,metric_n_valid_NL,metric_n_valid_L,metric_rmse_NL_m,metric_bias_NL_m,metric_r_squared_NL,metric_rmse_L_m,metric_bias_L_m,metric_r_squared_L,metric_capture_rate_2x_NL,metric_rmse_timeline_obs_m,metric_bias_timeline_obs_m,metric_r_squared_timeline_obs,metric_capture_rate_timeline_obs_2x,metric_timeline_spacing_q10_m,metric_timeline_spacing_q90_m,metric_timeline_spacing_std_mean_m,metric_timeline_spacing_vs_integrated_supercriticality_corr,metric_timeline_spacing_vs_setup_corr,metric_kappa_mean,metric_kappa_min,metric_kappa_max,metric_Ra_mean,metric_Ra_min,metric_Ra_max,metric_diagnostic_best_family,metric_diagnostic_best_family_loocv_r2,metric_observed_q10_m,metric_observed_q90_m,metric_predicted_q10_m,metric_predicted_q90_m,metric_mean_timeline_std_m,metric_duration_corr_predicted_vs_integrated_supercriticality,metric_setup_corr_predicted_vs_setup_at_obs,cfg_relaxation_hours,cfg_decay_hours,cfg_setup_relaxation_hours,cfg_setup_decay_hours,cfg_setup_u_star_scale,cfg_setup_supercriticality_scale,cfg_setup_coherence_floor,cfg_immature_l_bias,cfg_recovery_gate_floor,cfg_merge_amplitude_threshold,cfg_merge_setup_threshold,cfg_merge_min_age_hours,cfg_merge_timescale_hours,cfg_merge_u_star_threshold,cfg_merge_step_factor
sample_023,111.85981499932714,55.93875043172831,0.26640688073806457,13.451235890695791,18.970885817053116,23.23253597911186,0.0,manual_spacing_m,shallow_lake_dynamic,39,39,39,57.29017673952505,19.643942815825568,-0.1328577571111853,58.48146529655712,-22.858946135722142,-0.18046074599853767,0.6153846153846154,55.93875043172831,-1.0656275229522583,-0.08004184064629305,0.8717948717948718,61.32289914109577,82.53190850025065,5.676371394315628,-0.7293014391644743,0.7664955498097528,2.1057185199861186,2.100617485663704,2.107321277332965,37976.56399605547,31835.29199144628,39650.65767342675,wave_history_proxy,0.018007145849455175,40.218809844,99.859921748,61.32289914109577,82.53190850025065,5.676371394315628,-0.7293014391644743,0.7664955498097528,7.326895787241676,17.392179071529267,23.231341442937957,38.074458897618264,0.002982451102879179,0.9275580895064222,0.07600395126126852,1.5569093630939206,0.32848604244138263,0.2819260485805317,0.5219276059056441,8.875096316180437,16.417729494765386,0.001354356625515338,0.7773464908059073
sample_021,116.78440019094657,66.41534676832669,2.8681963474572534,9.305623631909995,11.795325826633812,26.399907616618822,0.0,manual_spacing_m,shallow_lake_dynamic,39,39,39,57.29017673952505,19.643942815825568,-0.1328577571111853,58.48146529655712,-22.858946135722142,-0.18046074599853767,0.6153846153846154,66.41534676832669,11.472785389829014,-0.5224812322441197,0.6666666666666666,53.51012413305269,113.15610355011873,8.068224724455396,-0.8559963046647528,0.8605816249754867,2.1057185199861186,2.100617485663704,2.107321277332965,37976.56399605547,31835.29199144628,39650.65767342675,wave_history_proxy,0.018007145849455175,40.218809844,99.859921748,53.51012413305269,113.15610355011873,8.068224724455396,-0.8559963046647528,0.8605816249754867,8.29245249459008,31.78370532801941,14.402472055994984,26.67458338262502,0.002698489996883028,0.5861921800645644,0.24224947117312517,2.2672946600715145,0.08440497442440105,0.6176926702045358,0.5303902593705314,2.9295072498358916,12.796778399476462,0.0014070548771573403,0.7991749997985446
sample_016,118.73356746137506,59.744839534332705,0.48160692168378955,8.156942020719649,23.699789100652954,26.650389883985966,0.0,manual_spacing_m,shallow_lake_dynamic,39,39,39,57.29017673952505,19.643942815825568,-0.1328577571111853,58.48146529655712,-22.858946135722142,-0.18046074599853767,0.6153846153846154,59.744839534332705,-1.9264276867351582,-0.2320146064082098,0.8461538461538461,51.7166450291727,88.05220830254514,4.100070299782349,-0.8660155953594385,0.7892476321482104,2.1057185199861186,2.100617485663704,2.107321277332965,37976.56399605547,31835.29199144628,39650.65767342675,wave_history_proxy,0.018007145849455175,40.218809844,99.859921748,51.7166450291727,88.05220830254514,4.100070299782349,-0.8660155953594385,0.7892476321482104,9.292979844162936,38.89057420372802,30.02751109825827,42.95058780821504,0.002589774941195198,0.6227064599790605,0.32756053199569013,2.3014887542269946,0.07610816656451656,0.7009929223750404,0.5599981289814313,4.5810017771077485,17.904428339359747,0.0024529762551909456,0.836528433307101
sample_020,120.93471899038083,56.91559285893071,2.062661361004462,14.147317516983303,24.041999750869245,23.767147502593115,0.0,manual_spacing_m,shallow_lake_dynamic,39,39,39,57.29017673952505,19.643942815825568,-0.1328577571111853,58.48146529655712,-22.858946135722142,-0.18046074599853767,0.6153846153846154,56.91559285893071,8.250645444017849,-0.118092120095312,0.7948717948717948,68.97967903644282,88.19988374906195,3.986000083043585,-0.7506859001037246,0.7947660446464873,2.1057185199861186,2.100617485663704,2.107321277332965,37976.56399605547,31835.29199144628,39650.65767342675,wave_history_proxy,0.018007145849455175,40.218809844,99.859921748,68.97967903644282,88.19988374906195,3.986000083043585,-0.7506859001037246,0.7947660446464873,22.142422180747676,27.49960140770428,7.206546627138021,55.84326215059445,0.0020518568793793882,0.8346593610618793,0.26608023673717207,2.0704614193376423,0.4488041172289967,0.41033288682073293,0.44406179201137075,5.308422793992931,14.048799837850822,0.0015980723296457663,0.8612112262630115
sample_001,121.92914383155436,58.38639095249671,3.0600559019093665,13.288779383550663,23.210056466479077,23.983861127118534,0.0,manual_spacing_m,shallow_lake_dynamic,39,39,39,57.29017673952505,19.643942815825568,-0.1328577571111853,58.48146529655712,-22.858946135722142,-0.18046074599853767,0.6153846153846154,58.38639095249671,12.240223607637466,-0.1766256744194754,0.717948717948718,71.66124255952374,93.33441336766471,4.263314511173641,-0.7593544450847413,0.8725592007956546,2.1057185199861186,2.100617485663704,2.107321277332965,37976.56399605547,31835.29199144628,39650.65767342675,wave_history_proxy,0.018007145849455175,40.218809844,99.859921748,71.66124255952374,93.33441336766471,4.263314511173641,-0.7593544450847413,0.8725592007956546,9.161801170846061,35.8953676704966,22.24383660747275,32.78386587009355,0.0017299118866348486,0.07690368758818981,0.06214163824978197,1.7424361537953497,0.30887580462970005,0.5692310668887524,0.5610226548440359,11.969309293681322,17.69336542041968,0.0022138549612017366,0.8761102263042759
sample_010,122.64126994278651,58.05989636566086,4.9247337622812575,18.113608979860846,27.205511358451048,14.33751947653249,0.0,manual_spacing_m,shallow_lake_dynamic,39,39,39,57.29017673952505,19.643942815825568,-0.1328577571111853,58.48146529655712,-22.858946135722142,-0.18046074599853767,0.6153846153846154,58.05989636566086,19.69893504912503,-0.1635031711300423,0.6410256410256411,87.16360349692033,95.0515468870322,2.9314962138496505,-0.37350077906129964,0.4537362215856285,2.1057185199861186,2.100617485663704,2.107321277332965,37976.56399605547,31835.29199144628,39650.65767342675,wave_history_proxy,0.018007145849455175,40.218809844,99.859921748,87.16360349692033,95.0515468870322,2.9314962138496505,-0.37350077906129964,0.4537362215856285,6.179182094531255,20.951384732748117,8.358901114969196,52.54641627485175,0.0014024680169190259,0.717519467126797,0.4719007134710454,0.4916793352008698,0.39591131816030967,0.2356784909602031,0.5594237795709892,5.727514672964343,9.821592749335428,0.002941155804840111,0.9061658851444387
sample_002,123.5712213878075,59.94919872973618,4.955504267369133,15.502922418559839,17.421525927646627,25.742070044495723,0.0,manual_spacing_m,shallow_lake_dynamic,39,39,39,57.29017673952505,19.643942815825568,-0.1328577571111853,58.48146529655712,-22.858946135722142,-0.18046074599853767,0.6153846153846154,59.94919872973618,19.822017069476534,-0.2404573142793205,0.6153846153846154,82.18457090396653,102.18822474106159,6.192824690784458,-0.829682801779829,0.7630856159939513,2.1057185199861186,2.100617485663704,2.107321277332965,37976.56399605547,31835.29199144628,39650.65767342675,wave_history_proxy,0.018007145849455175,40.218809844,99.859921748,82.18457090396653,102.18822474106159,6.192824690784458,-0.829682801779829,0.7630856159939513,18.39204115027692,21.667642719373113,10.052895150672336,56.403347050868575,0.0019557795094465973,0.3447297817810078,0.24291767941589454,2.2458220190027007,0.4236174063824999,0.41467711802544216,0.6643414069013684,4.5405633018353635,11.508800483195149,0.001344778063767833,0.8139885601267587
sample_005,125.2431228933562,57.5587552237837,2.1188347887119594,15.826232816408954,27.298141443730373,22.441158620721218,0.0,manual_spacing_m,shallow_lake_dynamic,39,39,39,57.29017673952505,19.643942815825568,-0.1328577571111853,58.48146529655712,-22.858946135722142,-0.18046074599853767,0.6153846153846154,57.5587552237837,8.475339154847838,-0.14350441350540089,0.8205128205128205,71.71770201322273,86.14100587034001,2.9006195187565416,-0.6976463448288487,0.8716570029621791,2.1057185199861186,2.100617485663704,2.107321277332965,37976.56399605547,31835.29199144628,39650.65767342675,wave_history_proxy,0.018007145849455175,40.218809844,99.859921748,71.71770201322273,86.14100587034001,2.9006195187565416,-0.6976463448288487,0.8716570029621791,13.65411524728336,28.606403560461334,35.85289515705972,69.14084579651487,0.0018120993064800112,0.7698424030428769,0.24871134774380949,1.4174179684525718,0.364314280285523,0.44879350961340253,0.7539659644838012,8.822571657887249,16.912954985814054,0.000787331583202263,0.8949636280983142
sample_004,125.53460585226387,63.632782742263096,6.767117150710673,18.428698092848684,18.147768126558436,18.558239739882982,0.0,manual_spacing_m,shallow_lake_dynamic,39,39,39,57.29017673952505,19.643942815825568,-0.1328577571111853,58.48146529655712,-22.858946135722142,-0.18046074599853767,0.6153846153846154,63.632782742263096,27.068468602842692,-0.39758068681177616,0.5384615384615384,84.42347790538625,108.30867680903857,5.950743957813855,-0.5423295895953193,0.718196843339931,2.1057185199861186,2.100617485663704,2.107321277332965,37976.56399605547,31835.29199144628,39650.65767342675,wave_history_proxy,0.018007145849455175,40.218809844,99.859921748,84.42347790538625,108.30867680903857,5.950743957813855,-0.5423295895953193,0.718196843339931,13.281933116787508,15.95539133527766,8.722591368573656,48.498613615263636,0.0014571314922016297,0.6883951340585415,0.09975772198410665,2.3668601541649448,0.19604406729793145,0.26329716774213774,0.6960094833468401,11.198700083746541,9.046034475452544,0.002886476234226843,0.8399749952850353
sample_009,126.08969025838933,60.0816813236203,3.857092699464956,12.688921590702494,27.616565979972563,21.845428664629008,0.0,manual_spacing_m,shallow_lake_dynamic,39,39,39,57.29017673952505,19.643942815825568,-0.1328577571111853,58.48146529655712,-22.858946135722142,-0.18046074599853767,0.6153846153846154,60.0816813236203,15.428370797859824,-0.24594598113870925,0.6666666666666666,71.45652104493138,94.84357126120997,2.7944780066758117,-0.6738171465851602,0.7754951423127038,2.1057185199861186,2.100617485663704,2.107321277332965,37976.56399605547,31835.29199144628,39650.65767342675,wave_history_proxy,0.018007145849455175,40.218809844,99.859921748,71.45652104493138,94.84357126120997,2.7944780066758117,-0.6738171465851602,0.7754951423127038,13.432134168256068,34.54362912912731,24.795193872592606,69.70834799105677,0.001612689704401698,0.5749809349952228,0.29696210080658414,2.151069779032638,0.1081894152746127,0.44390620204887604,0.8504774289142634,1.473735774250246,15.163300482904031,0.0015384600934280617,0.9191529564667447
sample_006,128.1465422426173,57.415501148751346,2.5623167529759794,12.619717302793632,27.351970513985638,28.197036524110704,0.0,manual_spacing_m,shallow_lake_dynamic,39,39,39,57.29017673952505,19.643942815825568,-0.1328577571111853,58.48146529655712,-22.858946135722142,-0.18046074599853767,0.6153846153846154,57.415501148751346,-10.249267011903918,-0.13781951581947705,0.9230769230769231,51.38264855677247,74.96742530993353,2.8826764953381208,-0.9278814609644281,0.8089403962967,2.1057185199861186,2.100617485663704,2.107321277332965,37976.56399605547,31835.29199144628,39650.65767342675,wave_history_proxy,0.018007145849455175,40.218809844,99.859921748,51.38264855677247,74.96742530993353,2.8826764953381208,-0.9278814609644281,0.8089403962967,22.69363071524208,39.037785697739395,6.441189148961079,64.36384505375224,0.0029586290881459575,0.9593496706304154,0.07438200611624896,2.4370462717927963,0.4059742222882083,0.6934242965258424,0.6139933580943078,3.556102116032342,14.830089259492926,0.002808825399458674,0.7838712653501502
sample_012,128.2882044481356,57.44258164920395,1.3871220618318527,13.347395363344258,29.196078045035126,26.9150273287204,0.0,manual_spacing_m,shallow_lake_dynamic,39,39,39,57.29017673952505,19.643942815825568,-0.1328577571111853,58.48146529655712,-22.858946135722142,-0.18046074599853767,0.6153846153846154,57.44258164920395,5.548488247327411,-0.13889309308816777,0.8717948717948718,65.32731935511373,86.833015935273,2.2679739849882923,-0.8766010931488158,0.8613592102852452,2.1057185199861186,2.100617485663704,2.107321277332965,37976.56399605547,31835.29199144628,39650.65767342675,wave_history_proxy,0.018007145849455175,40.218809844,99.859921748,65.32731935511373,86.833015935273,2.2679739849882923,-0.8766010931488158,0.8613592102852452,21.4926253718582,17.414402209663223,10.237396707030948,53.52346356163641,0.0023721607806404563,0.20870028234315857,0.197778636552438,2.293588262296926,0.2745603070200892,0.5470015489557637,0.4567713750899365,6.786244734796627,10.374955638318719,0.00072233910061568,0.9556662463504094
sample_011,130.39571086410209,61.64413834504841,5.440673196935336,14.354875201025328,25.729741852215398,23.226282268877608,0.0,manual_spacing_m,shallow_lake_dynamic,39,39,39,57.29017673952505,19.643942815825568,-0.1328577571111853,58.48146529655712,-22.858946135722142,-0.18046074599853767,0.6153846153846154,61.64413834504841,21.762692787741344,-0.31159161503361243,0.5897435897435898,78.33982413389715,102.7528366038895,3.423419382594867,-0.7290512907551043,0.8978946568078653,2.1057185199861186,2.100617485663704,2.107321277332965,37976.56399605547,31835.29199144628,39650.65767342675,wave_history_proxy,0.018007145849455175,40.218809844,99.859921748,78.33982413389715,102.7528366038895,3.423419382594867,-0.7290512907551043,0.8978946568078653,11.559432528946697,18.095103565024004,31.893606125679533,65.35320167331064,0.0019235543121960195,0.377080944414209,0.4974586740804589,0.9266701543457103,0.12308495157062499,0.728058872782442,0.7967844689611897,8.346783461284865,17.33461810844723,0.002814286443036047,0.8995796407924209
sample_019,131.332328429329,60.72610928229371,6.094025829932414,18.408973053886665,28.242476103821637,17.86074415939458,0.0,manual_spacing_m,shallow_lake_dynamic,39,39,39,57.29017673952505,19.643942815825568,-0.1328577571111853,58.48146529655712,-22.858946135722142,-0.18046074599853767,0.6153846153846154,60.72610928229371,24.376103319729655,-0.27281701490251753,0.5897435897435898,91.79312681184155,98.83717284759393,2.585841298726122,-0.5144297663757833,0.5880031284221265,2.1057185199861186,2.100617485663704,2.107321277332965,37976.56399605547,31835.29199144628,39650.65767342675,wave_history_proxy,0.018007145849455175,40.218809844,99.859921748,91.79312681184155,98.83717284759393,2.585841298726122,-0.5144297663757833,0.5880031284221265,18.628234189113712,18.81772767923673,29.029568099504207,47.95834800813195,0.0010064593375532739,0.4218114049894309,0.03687050669890296,1.2951840153990897,0.2214158432571695,0.45424246578226846,0.6724651944749314,2.349597261936808,16.940302559309483,0.0022101261201875827,0.9177075260142652
sample_015,131.68080346813574,56.10964976392884,2.629952763136639,18.56676857207432,31.532017444195297,22.842414924800647,0.0,manual_spacing_m,shallow_lake_dynamic,39,39,39,57.29017673952505,19.643942815825568,-0.1328577571111853,58.48146529655712,-22.858946135722142,-0.18046074599853767,0.6153846153846154,56.10964976392884,10.519811052546556,-0.08665122616455756,0.8205128205128205,77.89587914154349,84.48908083961686,1.4893275186015686,-0.7136965969920258,0.8206414571869204,2.1057185199861186,2.100617485663704,2.107321277332965,37976.56399605547,31835.29199144628,39650.65767342675,wave_history_proxy,0.018007145849455175,40.218809844,99.859921748,77.89587914154349,84.48908083961686,1.4893275186015686,-0.7136965969920258,0.8206414571869204,17.41325962825398,24.897150813965588,10.906302485894408,53.72907251272733,0.0014996382532607559,0.7253358701026477,0.2301776644336624,1.3671806792524124,0.3658662929839482,0.25564728531402847,0.6683171768279264,3.1695844202545542,14.93018802901709,0.0017221150903231498,0.9572868800082767
sample_000,131.9207407870159,56.68175682894438,1.863743981624816,15.783909059058805,29.49229023293897,28.099040684448916,0.0,manual_spacing_m,shallow_lake_dynamic,39,39,39,57.29017673952505,19.643942815825568,-0.1328577571111853,58.48146529655712,-22.858946135722142,-0.18046074599853767,0.6153846153846154,56.68175682894438,-7.454975926499264,-0.10892369614810504,0.9230769230769231,55.56502778307368,70.10925666119138,2.1692365890203433,-0.9239616273779567,0.8156169639417101,2.1057185199861186,2.100617485663704,2.107321277332965,37976.56399605547,31835.29199144628,39650.65767342675,wave_history_proxy,0.018007145849455175,40.218809844,99.859921748,55.56502778307368,70.10925666119138,2.1692365890203433,-0.9239616273779567,0.8156169639417101,17.465310371786178,18.093601412916108,7.229205718085841,16.925547589597628,0.0025891945262405997,0.9171177984138357,0.30331788788358993,1.877842090263196,0.26744999658616914,0.761043454272661,0.7987194547668427,1.030123501871629,15.71846842540111,0.0005839639382636609,0.8951173071431866
sample_018,132.89755880234185,55.18309610797113,0.20745606127227617,17.321723852931715,32.66949980338571,27.51578297678102,0.0,manual_spacing_m,shallow_lake_dynamic,39,39,39,57.29017673952505,19.643942815825568,-0.1328577571111853,58.48146529655712,-22.858946135722142,-0.18046074599853767,0.6153846153846154,55.18309610797113,0.8298242450891047,-0.05105921816139003,0.9230769230769231,66.41577083138743,76.56624315558254,1.1101667322047626,-0.9006313190712407,0.9162894149744701,2.1057185199861186,2.100617485663704,2.107321277332965,37976.56399605547,31835.29199144628,39650.65767342675,wave_history_proxy,0.018007145849455175,40.218809844,99.859921748,66.41577083138743,76.56624315558254,1.1101667322047626,-0.9006313190712407,0.9162894149744701,19.398853074253182,35.556277367027704,10.167950373605926,55.41200307894068,0.0026064267944682054,0.9827369067282041,0.42189528118436337,1.1754449165212295,0.4418754834038626,0.7843906429114131,0.6270223385603184,9.287911924422957,16.621402682770608,0.0016903676799218826,0.9273086978633003
sample_014,134.23788448411653,61.77856767831252,7.109607790020592,20.35883342159846,28.553477616419908,16.437397977765063,0.0,manual_spacing_m,shallow_lake_dynamic,39,39,39,57.29017673952505,19.643942815825568,-0.1328577571111853,58.48146529655712,-22.858946135722142,-0.18046074599853767,0.6153846153846154,61.77856767831252,28.438431160082366,-0.3173183115351268,0.48717948717948717,95.50161543694759,102.74521164533374,2.482174127860031,-0.4574959191106024,0.5032894613263011,2.1057185199861186,2.100617485663704,2.107321277332965,37976.56399605547,31835.29199144628,39650.65767342675,wave_history_proxy,0.018007145849455175,40.218809844,99.859921748,95.50161543694759,102.74521164533374,2.482174127860031,-0.4574959191106024,0.5032894613263011,9.190081328543858,21.642001953535576,7.88686495364914,56.6493283714435,0.000993089350870871,0.4253371229400692,0.43676131556036607,1.2862907745250263,0.41504877345635427,0.6595502706433235,0.8534281780614712,2.40143309953797,3.1770064852901125,0.0006758156339230452,0.9285250306433566
sample_013,142.98126701094392,68.04593690674285,8.499228513610817,23.370227573280417,23.831862274943493,19.234011742366352,0.0,manual_spacing_m,shallow_lake_dynamic,39,39,39,57.29017673952505,19.643942815825568,-0.1328577571111853,58.48146529655712,-22.858946135722142,-0.18046074599853767,0.6153846153846154,68.04593690674285,33.996914054443266,-0.5981570500944089,0.46153846153846156,91.76137000948006,115.08944036332115,4.056045908352169,-0.569360469694654,0.7572980303811963,2.1057185199861186,2.100617485663704,2.107321277332965,37976.56399605547,31835.29199144628,39650.65767342675,wave_history_proxy,0.018007145849455175,40.218809844,99.859921748,91.76137000948006,115.08944036332115,4.056045908352169,-0.569360469694654,0.7572980303811963,16.285120808203942,10.192266479929305,29.17947603676166,70.78287997504816,0.0020977140623060914,0.35369755446853174,0.09375385786389245,1.746811258008799,0.12804295938272203,0.5466127355107155,0.6812315470087942,11.58665402436819,3.1562442484780284,0.0017499320591465462,0.8985833950278356
sample_022,160.595282933632,75.82236109043343,12.43252596677767,35.15271825354859,19.873639758320287,17.314037864552027,0.0,manual_spacing_m,shallow_lake_dynamic,39,39,39,57.29017673952505,19.643942815825568,-0.1328577571111853,58.48146529655712,-22.858946135722142,-0.18046074599853767,0.6153846153846154,75.82236109043343,49.73010386711068,-0.9843106667245622,0.3333333333333333,110.59025246666737,129.92481699261435,5.375453413893237,-0.4925615145820812,0.451423789865399,2.1057185199861186,2.100617485663704,2.107321277332965,37976.56399605547,31835.29199144628,39650.65767342675,wave_history_proxy,0.018007145849455175,40.218809844,99.859921748,110.59025246666737,129.92481699261435,5.375453413893237,-0.4925615145820812,0.451423789865399,22.98619977412538,15.978950220384585,21.36520973513205,17.344739237595558,0.0011594098005013036,0.8892477969518838,0.39462377412633814,1.4807216271241774,0.13898135839654413,0.534648549572784,0.35668058936248687,8.842929940317127,13.46801088901965,0.0021151125589158873,0.8667212842260483
default,175.624964609141,82.23810046715984,14.449440258321507,41.4957956659027,15.207269077705686,22.234359140051268,0.0,manual_spacing_m,shallow_lake_dynamic,39,39,39,57.29017673952505,19.643942815825568,-0.1328577571111853,58.48146529655712,-22.858946135722142,-0.18046074599853767,0.6153846153846154,82.23810046715984,57.79776103328603,-1.3343243461463734,0.358974358974359,113.37266220411995,145.2654855761735,6.930910307431438,-0.6893743656020507,0.6592586983470448,2.1057185199861186,2.100617485663704,2.107321277332965,37976.56399605547,31835.29199144628,39650.65767342675,wave_history_proxy,0.018007145849455175,40.218809844,99.859921748,113.37266220411995,145.2654855761735,6.930910307431438,-0.6893743656020507,0.6592586983470448,12.0,18.0,18.0,30.0,0.002,0.25,0.15,1.3,0.18,0.4,0.55,3.0,6.0,0.001,0.85
sample_008,183.66144931954693,95.7351425374702,19.22626033255455,54.69222211367963,4.593643668420677,9.277945045268334,0.1362356221535399,manual_spacing_m,shallow_lake_dynamic,39,39,39,57.29017673952505,19.643942815825568,-0.1328577571111853,58.48146529655712,-22.858946135722142,-0.18046074599853767,0.6153846153846154,95.7351425374702,76.9050413302182,-2.1634271320673837,0.28205128205128205,135.29673486272398,161.0454884826464,10.468785443859774,-0.17111780181073333,0.19318821889232302,2.1057185199861186,2.100617485663704,2.107321277332965,37976.56399605547,31835.29199144628,39650.65767342675,wave_history_proxy,0.018007145849455175,40.218809844,99.859921748,135.29673486272398,161.0454884826464,10.468785443859774,-0.17111780181073333,0.19318821889232302,12.197579618474254,22.908961958435,34.9818624235221,47.48498316479359,0.0013695021049760512,0.2795919283896277,0.4440591603295899,0.7194996853598461,0.0998218823341134,0.3729984542045466,0.6723676856470031,7.094995523905946,14.955372414604444,0.0019011898800154645,0.7892210914634905
sample_007,209.62821665248939,117.92001623936348,16.60443024230008,49.12284524840405,0.0,25.980924922421778,0.0,manual_spacing_m,shallow_lake_dynamic,39,39,39,57.29017673952505,19.643942815825568,-0.1328577571111853,58.48146529655712,-22.858946135722142,-0.18046074599853767,0.6153846153846154,117.92001623936348,66.41772096920032,-3.799435055869063,0.4358974358974359,55.73977712266349,224.6899408933481,20.34757719056451,-0.839236996896871,0.7020853851960378,2.1057185199861186,2.100617485663704,2.107321277332965,37976.56399605547,31835.29199144628,39650.65767342675,wave_history_proxy,0.018007145849455175,40.218809844,99.859921748,55.73977712266349,224.6899408933481,20.34757719056451,-0.839236996896871,0.7020853851960378,15.700819337199365,23.282584869235947,33.93051947943465,18.26859982655234,0.0024104136304444338,0.6336545846015468,0.014182682556760529,1.8542054775015027,0.056396691809428794,0.654770601413857,0.632017297794143,11.220146428767068,3.0573199475851958,0.002603293199030958,0.7360056021041043
sample_003,230.07739571632894,126.24994684976046,23.69601379866972,57.96897279549669,0.0,22.162462272402056,0.0,manual_spacing_m,shallow_lake_dynamic,39,39,39,57.29017673952505,19.643942815825568,-0.1328577571111853,58.48146529655712,-22.858946135722142,-0.18046074599853767,0.6153846153846154,126.24994684976046,94.78405519467888,-4.5014537544743725,0.20512820512820512,91.77767710174827,213.92669104881372,17.799274305039447,-0.6864984908960823,0.6504171837947855,2.1057185199861186,2.100617485663704,2.107321277332965,37976.56399605547,31835.29199144628,39650.65767342675,wave_history_proxy,0.018007145849455175,40.218809844,99.859921748,91.77767710174827,213.92669104881372,17.799274305039447,-0.6864984908960823,0.6504171837947855,22.02493833608626,16.814727806001393,24.695614340581272,20.70485924061355,0.0026318171248374753,0.7977433921142492,0.11968472149647608,2.2159137308646186,0.07342721392207774,0.4016702363273963,0.4326537067921615,5.953733033142157,14.741188324596708,0.0010766055224843687,0.7324851122554583
sample_017,309.9673006055421,160.1787720009185,35.1231863096998,96.75470747744903,0.0,17.91063481747474,0.0,manual_spacing_m,shallow_lake_dynamic,39,39,39,57.29017673952505,19.643942815825568,-0.1328577571111853,58.48146529655712,-22.858946135722142,-0.18046074599853767,0.6153846153846154,160.1787720009185,140.4927452387992,-7.85574246743581,0.07692307692307693,157.92294657375913,258.59780638238095,23.44069727005364,-0.5164253926989896,0.5099661244003271,2.1057185199861186,2.100617485663704,2.107321277332965,37976.56399605547,31835.29199144628,39650.65767342675,wave_history_proxy,0.018007145849455175,40.218809844,99.859921748,157.92294657375913,258.59780638238095,23.44069727005364,-0.5164253926989896,0.5099661244003271,13.607311135646063,36.325867176153885,8.604446166446824,55.6714503871765,0.0025361401721513215,0.809236560730309,0.1611433623699159,2.0322701203159257,0.14013137675026605,0.4173847702907415,0.5795964617124089,6.955509819931811,3.801818648648915,0.0015173695015982653,0.7200721656256615
